type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2025-12-15 09:14:21,12.92550548,77.49945797,4.37,707.686,,6.300,48,27,49,20251215-144421,GPS Logger: 20251215-144421 - EL2
T,2025-12-15 09:14:22,12.92554745,77.49951107,4.53,708.102,,6.830,47,28,49,,
T,2025-12-15 09:14:23,12.92558944,77.49955233,4.74,708.303,,6.740,46,30,49,,
T,2025-12-15 09:14:24,12.92563237,77.49960519,4.32,708.154,,7.600,49,30,49,,
T,2025-12-15 09:14:25,12.92567859,77.49965025,4.20,708.405,,7.420,48,30,49,,
T,2025-12-15 09:14:26,12.92572547,77.49969968,4.01,707.716,,8.430,45,19,49,,
T,2025-12-15 09:14:27,12.92577563,77.49975336,3.79,707.401,,8.290,49,19,49,,
T,2025-12-15 09:14:28,12.92582355,77.49981215,3.79,708.259,,8.390,48,20,50,,
T,2025-12-15 09:14:29,12.92587095,77.49986388,3.79,708.108,,8.250,49,21,50,,
T,2025-12-15 09:14:30,12.92592238,77.49993617,3.79,707.135,,8.760,61,21,50,,
T,2025-12-15 09:14:31,12.92596226,77.49998620,3.79,706.266,,8.400,52,21,50,,
T,2025-12-15 09:14:32,12.92601400,77.50004261,3.79,708.873,,8.350,53,22,50,,
T,2025-12-15 09:14:33,12.92607498,77.50011034,3.79,710.915,,8.770,52,30,50,,
T,2025-12-15 09:14:34,12.92612603,77.50016342,3.79,713.423,,8.930,53,30,50,,
T,2025-12-15 09:14:35,12.92617781,77.50022596,3.79,714.248,,8.900,52,29,50,,
T,2025-12-15 09:14:36,12.92623070,77.50028382,3.79,714.290,,8.900,53,30,50,,
T,2025-12-15 09:14:37,12.92628315,77.50035324,3.79,713.855,,8.960,53,29,50,,
T,2025-12-15 09:14:38,12.92633728,77.50043079,3.79,714.273,,9.140,54,30,50,,
T,2025-12-15 09:14:39,12.92638102,77.50049267,3.79,714.183,,9.310,58,30,50,,
T,2025-12-15 09:14:40,12.92642794,77.50055719,3.79,714.039,,9.270,57,29,50,,
T,2025-12-15 09:14:41,12.92647897,77.50062700,3.79,712.906,,9.810,58,30,50,,
T,2025-12-15 09:14:42,12.92653046,77.50069754,3.79,712.403,,9.820,57,29,50,,
T,2025-12-15 09:14:43,12.92658282,77.50077396,3.79,711.918,,10.240,56,29,50,,
T,2025-12-15 09:14:44,12.92663785,77.50084649,3.79,711.487,,10.490,56,27,50,,
T,2025-12-15 09:14:45,12.92670039,77.50092743,3.79,710.412,,10.450,56,27,50,,
T,2025-12-15 09:14:46,12.92675303,77.50100795,3.79,709.853,,10.690,60,19,50,,
T,2025-12-15 09:14:47,12.92680841,77.50107267,3.79,708.968,,10.420,55,19,50,,
T,2025-12-15 09:14:48,12.92686158,77.50115009,3.79,709.014,,10.400,53,20,50,,
T,2025-12-15 09:14:49,12.92691425,77.50122525,3.79,709.182,,10.450,56,21,50,,
T,2025-12-15 09:14:50,12.92697144,77.50131596,3.79,709.197,,10.590,50,21,50,,
T,2025-12-15 09:14:51,12.92702559,77.50139516,3.79,710.469,,10.590,53,32,50,,
T,2025-12-15 09:14:52,12.92708136,77.50147933,3.79,710.719,,10.650,59,33,50,,
T,2025-12-15 09:14:53,12.92713236,77.50155883,3.79,710.787,,10.500,61,32,50,,
T,2025-12-15 09:14:54,12.92718437,77.50163119,3.79,710.717,,10.500,57,32,50,,
T,2025-12-15 09:14:55,12.92724386,77.50171337,3.79,710.507,,10.520,55,31,50,,
T,2025-12-15 09:14:56,12.92730050,77.50179827,3.79,710.673,,10.540,54,31,50,,
T,2025-12-15 09:14:57,12.92735140,77.50187723,3.79,711.153,,10.380,54,32,50,,
T,2025-12-15 09:14:58,12.92740523,77.50195692,3.79,710.921,,10.710,53,32,50,,
T,2025-12-15 09:14:59,12.92746275,77.50204078,3.79,710.638,,11.030,44,32,50,,
T,2025-12-15 09:15:00,12.92752394,77.50211664,3.90,710.575,,11.110,34,32,50,,
T,2025-12-15 09:15:01,12.92757321,77.50218027,4.14,710.339,,10.020,32,32,50,,
T,2025-12-15 09:15:02,12.92762718,77.50226267,4.13,710.025,,10.600,33,32,50,,
T,2025-12-15 09:15:03,12.92769143,77.50233177,4.12,710.375,,10.320,33,15,50,,
T,2025-12-15 09:15:04,12.92775818,77.50239468,4.23,709.369,,10.280,48,15,50,,
T,2025-12-15 09:15:05,12.92781789,77.50246467,4.22,708.815,,10.380,33,15,50,,
T,2025-12-15 09:15:06,12.92788627,77.50252441,4.23,709.943,,10.050,39,15,50,,
T,2025-12-15 09:15:07,12.92795285,77.50258485,4.31,710.074,,10.160,38,15,50,,
T,2025-12-15 09:15:08,12.92802000,77.50265561,3.86,711.452,,10.220,41,15,50,,
T,2025-12-15 09:15:09,12.92808967,77.50271930,3.96,711.492,,10.220,41,31,50,,
T,2025-12-15 09:15:10,12.92815996,77.50277853,4.28,711.827,,10.200,40,31,50,,
T,2025-12-15 09:15:11,12.92822938,77.50284355,4.22,711.148,,10.060,49,30,50,,
T,2025-12-15 09:15:12,12.92829886,77.50290112,4.23,711.990,,10.510,40,30,50,,
T,2025-12-15 09:15:13,12.92837447,77.50296332,3.81,713.115,,10.680,42,30,50,,
T,2025-12-15 09:15:14,12.92844966,77.50302324,3.83,712.977,,10.630,41,34,50,,
T,2025-12-15 09:15:15,12.92852342,77.50308808,3.87,712.813,,10.970,41,33,50,,
T,2025-12-15 09:15:16,12.92860417,77.50315954,3.79,713.033,,10.920,43,33,50,,
T,2025-12-15 09:15:17,12.92868279,77.50322035,3.79,713.470,,11.000,44,32,50,,
T,2025-12-15 09:15:18,12.92875843,77.50329270,3.79,713.563,,10.830,49,34,50,,
T,2025-12-15 09:15:19,12.92882781,77.50336398,9.94,713.965,,10.980,51,34,50,,
T,2025-12-15 09:15:20,12.92890570,77.50344619,9.94,714.570,,11.130,51,31,50,,
T,2025-12-15 09:15:21,12.92897568,77.50352152,9.94,714.244,,10.790,55,32,50,,
T,2025-12-15 09:15:22,12.92903245,77.50360196,9.94,713.608,,10.790,58,32,50,,
T,2025-12-15 09:15:23,12.92908801,77.50368369,9.94,712.677,,10.810,61,33,50,,
T,2025-12-15 09:15:24,12.92913637,77.50376935,9.94,711.746,,10.980,64,32,50,,
T,2025-12-15 09:15:25,12.92917816,77.50385775,9.94,711.940,,10.790,71,32,50,,
T,2025-12-15 09:15:26,12.92923224,77.50396722,9.94,710.934,,11.360,68,34,50,,
T,2025-12-15 09:15:27,12.92926710,77.50404962,9.94,710.444,,10.120,74,33,50,,
T,2025-12-15 09:15:28,12.92929986,77.50414258,9.94,710.199,,10.490,71,34,50,,
T,2025-12-15 09:15:29,12.92933200,77.50423986,9.94,708.992,,10.730,73,34,50,,
T,2025-12-15 09:15:30,12.92935959,77.50433428,9.94,709.610,,10.760,71,32,50,,
T,2025-12-15 09:15:31,12.92939069,77.50442239,9.94,709.037,,10.500,69,30,50,,
T,2025-12-15 09:15:32,12.92941907,77.50451139,3.79,708.964,,10.770,70,30,50,,
T,2025-12-15 09:15:33,12.92944946,77.50460341,3.79,708.523,,10.650,66,30,50,,
T,2025-12-15 09:15:34,12.92947894,77.50469422,3.79,708.149,,10.660,68,27,50,,
